name,version,licence,licensor,homepage,scope
@eslint-community/regexpp,4.12.2,MIT,Toru Nagashima,https://github.com/eslint-community/regexpp#readme,build/dev
@eslint/config-array,0.21.2,Apache-2.0,Nicholas C. Zakas,https://github.com/eslint/rewrite/tree/main/packages/config-array#readme,build/dev
@eslint/config-helpers,0.4.2,Apache-2.0,,https://github.com/eslint/rewrite/tree/main/packages/config-helpers#readme,build/dev
@eslint/core,0.17.0,Apache-2.0,Nicholas C. Zakas,https://github.com/eslint/rewrite/tree/main/packages/core#readme,build/dev
@eslint/eslintrc,3.3.6,MIT,Nicholas C. Zakas,https://github.com/eslint/eslintrc#readme,build/dev
@eslint/js,9.39.5,MIT,,https://eslint.org,build/dev
@eslint/object-schema,2.1.7,Apache-2.0,Nicholas C. Zakas,https://github.com/eslint/rewrite/tree/main/packages/object-schema#readme,build/dev
@eslint/plugin-kit,0.4.1,Apache-2.0,Nicholas C. Zakas,https://github.com/eslint/rewrite/tree/main/packages/plugin-kit#readme,build/dev
@exodus/bytes,1.15.1,MIT,"Exodus Movement, Inc.",https://github.com/ExodusOSS/bytes,runtime
@floating-ui/core,1.8.0,MIT,atomiks,https://floating-ui.com,runtime
@floating-ui/dom,1.8.0,MIT,atomiks,https://floating-ui.com,runtime
@floating-ui/utils,0.2.12,MIT,atomiks,https://floating-ui.com,runtime
@gsap/react,2.1.2,SEE LICENSE AT https://gsap.com/standard-license,Jack Doyle,https://github.com/greensock/react#readme,runtime
@humanfs/core,0.19.2,Apache-2.0,Nicholas C. Zakas,https://github.com/humanwhocodes/humanfs#readme,build/dev
@humanfs/node,0.16.8,Apache-2.0,Nicholas C. Zakas,https://github.com/humanwhocodes/humanfs#readme,build/dev
@humanfs/types,0.15.0,Apache-2.0,Nicholas C. Zakas,https://github.com/humanwhocodes/humanfs#readme,build/dev
@humanwhocodes/module-importer,1.0.1,Apache-2.0,Nicholas C. Zaks,https://github.com/humanwhocodes/module-importer#readme,build/dev
@humanwhocodes/retry,0.4.3,Apache-2.0,Nicholas C. Zaks,https://github.com/humanwhocodes/retry#readme,build/dev
@img/colour,1.1.0,MIT,,https://github.com/lovell/colour#readme,runtime
@img/sharp-darwin-arm64,0.35.3,Apache-2.0,Lovell Fuller,https://sharp.pixelplumbing.com,runtime
@img/sharp-libvips-darwin-arm64,1.3.2,LGPL-3.0-or-later,Lovell Fuller,https://sharp.pixelplumbing.com,runtime
@inquirer/ansi,1.0.2,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/ansi/README.md,runtime
@inquirer/ansi,2.0.7,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/ansi/README.md,runtime
@inquirer/checkbox,4.3.2,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/checkbox/README.md,runtime
@inquirer/checkbox,5.2.3,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/checkbox/README.md,runtime
@inquirer/confirm,5.1.21,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/confirm/README.md,runtime
@inquirer/confirm,6.3.0,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/confirm/README.md,runtime
@inquirer/core,10.3.2,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/core/README.md,runtime
